UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Power_kW,Vibration_mms,Machine_failure
84,L00084,L,303.8,313.2,1729,22.2,147,4.014,12.989,0
85,L00085,L,300.5,311.6,1493,39.4,23,6.159,26.488,0
86,L00086,L,298.3,309.5,1944,34.2,238,6.968,17.578,1
87,M00087,M,300.4,311.5,1554,23.5,117,3.819,15.229,0
88,M00088,M,299.3,309.3,1613,64.2,29,10.843,39.835,1
89,M00089,M,300.6,309.9,1228,43.1,84,5.546,35.22,0
90,L00090,L,301.2,311.4,1377,40.1,93,5.788,28.961,0
91,L00091,L,302.4,313.4,1604,36.3,86,6.095,22.584,0
92,M00092,M,300.0,311.0,1483,47.3,173,7.347,32.05,0
93,M00093,M,303.3,312.8,1538,28.4,86,4.569,18.721,0
94,L00094,L,301.8,312.1,1337,36.9,81,5.161,27.546,0
95,M00095,M,298.6,307.3,1524,30.5,81,4.865,19.953,0
96,L00096,L,304.4,315.4,1524,47.2,194,7.534,31.056,0
97,L00097,L,300.7,309.9,1264,31.7,77,4.2,25.141,0
98,L00098,L,298.3,309.1,1629,51.0,3,8.7,31.378,0
99,L00099,L,303.3,312.2,1160,39.0,91,4.738,33.411,0
100,L00100,L,304.2,315.2,1537,47.7,70,7.684,31.043,0
101,L00101,L,299.9,310.3,1853,44.0,227,8.538,23.824,0
102,M00102,M,299.0,308.2,1636,50.6,119,8.668,30.687,0
103,L00103,L,299.7,310.3,1635,30.6,59,5.247,18.585,0
104,L00104,L,301.4,310.8,1321,49.1,245,6.784,36.972,1
105,H00105,H,302.6,313.3,1854,21.4,62,4.149,11.595,0
106,L00106,L,301.1,310.9,1775,40.4,191,7.517,22.681,0
107,L00107,L,300.2,308.5,1331,34.5,162,4.815,25.825,1
108,M00108,M,303.0,312.0,1405,26.0,116,3.819,18.478,0
109,L00109,L,299.4,308.9,1751,31.1,101,5.696,17.618,0
110,L00110,L,302.1,313.4,1859,33.6,218,6.541,18.114,0
111,L00111,L,299.4,310.3,1247,38.0,119,4.967,30.741,0
112,L00112,L,300.9,312.5,1299,34.8,94,4.728,26.71,0
113,H00113,H,299.8,311.4,1471,40.8,89,6.286,27.538,0
114,M00114,M,299.9,309.4,1066,31.7,69,3.538,29.697,0
115,M00115,M,299.2,309.1,1504,35.2,102,5.548,23.477,0
116,M00116,M,302.7,312.3,1737,37.1,30,6.751,21.401,0
117,M00117,M,298.5,307.9,1212,41.8,16,5.309,34.582,0
118,L00118,L,298.5,306.7,1525,48.5,135,7.746,31.728,0
119,M00119,M,304.2,314.2,1384,48.5,114,7.033,35.051,0
120,L00120,L,302.0,310.7,1828,42.4,43,8.112,22.936,0
121,M00121,M,295.2,305.2,1386,44.3,27,6.43,32.025,0
122,M00122,M,298.9,311.0,1804,43.1,36,8.145,23.773,0
123,L00123,L,296.4,305.9,1381,36.9,79,5.328,26.716,0
124,L00124,L,298.1,308.3,1654,49.0,113,8.489,29.537,0
125,L00125,L,293.7,304.6,1550,30.9,48,5.01,19.893,0
126,L00126,L,299.7,310.0,1472,19.5,189,3.009,13.353,1
127,M00127,M,297.7,308.0,1342,29.6,48,4.157,22.004,0
128,M00128,M,300.1,309.8,1565,54.0,31,8.853,34.459,0
129,L00129,L,296.7,306.5,1412,37.0,249,5.477,26.239,0
130,L00130,L,300.2,309.2,1362,42.7,112,6.096,31.316,0
131,L00131,L,299.2,310.0,1795,37.3,43,7.002,20.669,0
132,L00132,L,303.0,311.3,1610,45.6,224,7.689,28.529,0
133,L00133,L,302.8,313.8,1629,40.7,58,6.943,24.808,0
134,L00134,L,301.6,310.2,1422,39.3,231,5.853,27.719,0
135,H00135,H,299.3,310.3,1463,46.1,30,7.068,31.527,0
136,L00136,L,304.0,313.6,1450,35.3,210,5.368,24.287,0
137,L00137,L,296.9,305.7,1567,43.7,46,7.176,27.928,0
138,M00138,M,297.2,307.8,1628,38.3,235,6.523,23.495,0
139,L00139,L,299.8,310.8,1494,38.9,144,6.09,26.188,0
140,H00140,H,304.5,314.1,1341,31.8,47,4.469,23.602,0
141,H00141,H,299.6,310.3,1652,37.8,211,6.547,22.853,0
142,L00142,L,299.6,307.3,1507,34.6,98,5.457,23.057,0
143,L00143,L,297.1,305.8,1212,51.3,183,6.51,42.311,0
144,L00144,L,301.9,313.2,1073,23.2,161,2.602,21.64,1
145,L00145,L,301.9,311.7,1560,48.9,179,7.985,31.471,0
146,L00146,L,301.6,309.7,1334,22.6,86,3.151,16.964,1
147,M00147,M,298.7,308.0,1586,45.4,235,7.537,28.543,0
148,L00148,L,298.6,307.7,1345,31.6,140,4.454,23.478,0
149,L00149,L,297.4,307.2,1527,45.7,19,7.3,30.033,0
150,L00150,L,300.2,309.8,1424,38.8,17,5.785,27.247,0
151,H00151,H,297.8,308.0,1850,25.7,185,4.975,13.856,0
152,L00152,L,297.6,307.6,1690,53.6,212,9.484,31.745,1
153,L00153,L,299.2,310.5,1769,47.8,174,8.851,26.867,0
154,L00154,L,299.0,309.4,1505,45.0,69,7.096,29.902,0
155,H00155,H,298.9,309.4,1664,33.6,56,5.856,20.177,0
156,L00156,L,300.9,312.1,1518,48.1,141,7.65,31.677,0
157,M00157,M,300.2,309.8,1794,27.2,49,5.104,15.105,0
158,M00158,M,299.4,308.2,1485,17.7,95,2.757,11.9,1
159,L00159,L,300.4,311.6,1221,24.4,157,3.116,19.961,1
160,M00160,M,298.0,308.2,1100,30.8,71,3.547,28.121,0
161,L00161,L,300.2,310.3,1834,32.5,94,6.231,17.477,0
162,M00162,M,300.3,309.7,1596,35.7,90,5.957,22.412,0
163,M00163,M,297.0,306.4,1609,36.1,115,6.081,22.427,0
164,L00164,L,302.0,312.8,1798,33.5,169,6.308,18.627,0
165,L00165,L,298.2,309.2,1170,18.8,196,2.307,16.064,1
166,M00166,M,300.2,311.0,1428,41.9,166,6.27,29.401,0
167,L00167,L,302.3,313.1,1453,37.4,7,5.683,25.806,0
168,L00168,L,301.9,312.4,1648,33.0,224,5.703,19.851,0
169,L00169,L,300.1,310.2,1361,54.0,145,7.696,39.858,0
170,L00170,L,299.3,309.1,1260,37.6,230,4.957,29.845,1
171,M00171,M,301.9,313.1,1258,40.6,241,5.346,32.275,1
172,L00172,L,301.3,311.0,1730,48.0,117,8.688,27.584,0
173,L00173,L,298.8,309.1,1351,25.1,229,3.553,18.516,0
174,L00174,L,298.4,307.6,1390,39.8,91,5.788,28.759,0
175,M00175,M,295.9,305.2,1627,47.9,65,8.165,29.465,0
176,L00176,L,300.3,310.1,1360,39.1,18,5.568,28.777,0
177,M00177,M,299.8,309.0,1159,27.0,113,3.273,23.221,1
178,L00178,L,302.3,313.1,1184,35.2,172,4.36,29.914,0
179,H00179,H,300.7,309.4,1489,41.9,244,6.53,28.124,0
180,L00180,L,302.7,312.8,1599,18.9,130,3.171,11.949,1
181,L00181,L,298.6,308.7,1460,26.5,184,4.046,18.123,0
182,L00182,L,302.3,310.5,1586,59.7,224,9.922,37.697,1
183,H00183,H,298.9,308.5,1177,44.8,136,5.53,38.123,0
184,M00184,M,301.6,311.8,1191,54.8,42,6.839,46.136,0
185,L00185,L,297.1,307.5,1951,48.7,212,9.941,25.019,1
186,M00186,M,300.5,310.3,1747,43.9,144,8.037,25.111,0
187,M00187,M,296.0,306.7,1654,36.9,190,6.392,22.434,0
188,L00188,L,299.5,309.4,1368,43.8,165,6.277,31.926,0
189,L00189,L,300.9,310.9,1452,54.5,15,8.289,37.406,0
190,L00190,L,299.0,309.2,1500,48.3,42,7.578,32.148,0
191,L00191,L,297.9,308.8,1763,41.7,72,7.692,23.676,0
192,M00192,M,301.7,311.0,1581,38.3,71,6.335,24.115,0
193,H00193,H,299.8,309.3,1605,45.0,210,7.561,28.016,0
194,M00194,M,299.0,308.4,1466,34.7,150,5.326,23.51,0
195,L00195,L,300.1,309.8,1659,45.0,21,7.813,27.096,0
196,L00196,L,305.3,316.7,1560,33.0,97,5.396,21.258,0
197,M00197,M,302.3,312.9,1509,36.5,139,5.761,24.081,0
198,M00198,M,302.3,311.2,1351,29.7,63,4.206,21.872,0
199,M00199,M,300.9,310.3,1477,35.6,10,5.508,24.138,0
200,M00200,M,300.3,310.7,1284,33.2,95,4.459,25.747,0
201,M00201,M,295.2,304.3,1492,56.9,115,8.893,38.393,0
202,L00202,L,298.6,307.9,1518,31.1,226,4.936,20.48,0
203,L00203,L,299.0,310.4,1019,43.8,227,4.679,43.129,0
204,M00204,M,296.3,305.6,1454,30.5,125,4.649,20.868,0
205,M00205,M,297.7,308.6,1265,40.5,118,5.36,32.041,0
206,L00206,L,296.0,307.3,1600,42.9,160,7.187,26.716,0
207,L00207,L,299.9,309.2,1627,21.5,65,3.662,13.186,0
208,M00208,M,301.6,310.7,1415,26.0,71,3.855,18.319,0
209,L00209,L,302.2,311.9,1610,30.5,1,5.134,19.021,0
210,L00210,L,300.8,309.7,1618,27.0,20,4.57,16.697,0
211,L00211,L,298.1,308.2,1454,40.8,45,6.219,28.099,0
212,M00212,M,296.1,305.9,1807,42.4,160,8.028,23.617,0
213,M00213,M,296.5,306.8,1355,29.4,53,4.167,21.677,0
214,L00214,L,297.5,308.9,1794,41.2,31,7.749,23.088,0
215,M00215,M,298.2,309.0,1455,35.8,154,5.448,24.758,0
216,L00216,L,299.7,310.2,1331,39.0,163,5.438,29.312,0
217,L00217,L,298.0,306.0,1430,33.7,15,5.048,23.609,0
218,M00218,M,300.7,311.1,1280,44.9,193,6.016,35.152,0
219,M00219,M,299.5,311.3,1657,56.3,152,9.777,34.152,1
220,M00220,M,300.0,307.0,1179,47.7,99,5.897,40.492,1
221,M00221,M,302.3,313.0,1778,53.9,246,10.042,30.272,1
222,L00222,L,297.6,307.5,1313,26.0,3,3.571,19.87,0
223,L00223,L,300.8,310.0,1667,33.2,136,5.804,19.995,0
224,L00224,L,300.0,310.8,1505,45.7,40,7.194,30.423,0
225,L00225,L,299.3,311.0,1554,55.1,82,8.965,35.512,0
226,L00226,L,301.8,312.5,1382,46.5,33,6.73,33.671,0
227,H00227,H,301.8,311.4,1571,29.7,167,4.891,18.961,0
228,L00228,L,298.1,307.2,1527,35.7,100,5.701,23.419,0
229,M00229,M,299.6,309.8,1208,43.3,247,5.484,35.715,0
230,M00230,M,300.6,311.4,1307,38.4,163,5.251,29.466,0
231,M00231,M,299.5,309.1,1392,32.0,229,4.666,23.045,0
232,L00232,L,301.2,310.9,1349,37.1,60,5.241,27.415,0
233,L00233,L,300.6,313.4,1751,39.9,80,7.306,22.786,0
234,L00234,L,303.7,314.7,1501,29.2,91,4.583,19.548,0
235,L00235,L,296.9,308.1,1344,49.8,210,7.017,37.109,0
236,M00236,M,299.8,308.3,1402,35.6,53,5.227,25.325,0
237,L00237,L,298.2,307.5,1399,39.3,237,5.754,27.943,0
238,L00238,L,301.2,311.3,1442,50.4,11,7.605,35.154,0
239,M00239,M,296.8,305.8,1285,38.8,222,5.214,29.983,1
240,L00240,L,300.7,312.3,1337,49.8,113,6.974,37.278,0
241,H00241,H,298.7,310.2,1653,29.7,131,5.144,17.91,0
242,H00242,H,298.5,308.0,1537,44.3,249,7.135,28.945,0
243,H00243,H,297.1,308.9,1470,48.4,218,7.447,32.809,0
244,L00244,L,299.1,309.1,1501,31.7,226,4.981,21.288,0
245,L00245,L,302.2,314.8,1491,38.2,146,5.967,25.621,0
246,H00246,H,299.9,310.1,1458,38.4,239,5.867,26.328,0
247,L00247,L,301.3,311.8,1603,42.1,172,7.068,26.223,0
248,H00248,H,303.3,314.7,1589,44.7,205,7.444,28.108,0
249,H00249,H,300.5,311.8,1186,30.9,180,3.835,26.015,0
250,M00250,M,298.9,309.4,1474,39.4,195,6.08,26.807,0
251,L00251,L,300.9,310.8,1199,55.9,159,7.019,46.467,0
252,L00252,L,298.9,309.4,1627,50.5,182,8.611,30.985,0
253,M00253,M,299.0,308.2,1654,47.9,109,8.301,29.141,0
254,L00254,L,297.0,307.1,1378,38.1,177,5.493,27.623,0
255,L00255,L,301.9,310.7,1477,61.3,69,9.477,41.448,1
256,L00256,L,299.2,307.4,1078,50.3,159,5.677,46.544,1
257,H00257,H,300.4,310.4,1695,40.4,131,7.165,23.709,0
258,M00258,M,297.9,309.2,1642,42.2,225,7.257,25.802,0
259,L00259,L,300.9,311.8,1730,35.4,168,6.415,20.387,0
260,L00260,L,298.5,308.4,1797,43.9,149,8.269,24.525,0
261,M00261,M,299.7,311.5,1255,45.9,78,6.037,36.495,0
262,H00262,H,301.8,311.2,1678,47.0,216,8.261,28.019,0
263,L00263,L,301.6,309.7,1796,38.2,14,7.183,21.26,0
264,L00264,L,300.0,307.8,1201,25.3,225,3.178,20.958,1
265,M00265,M,296.5,305.3,1466,42.4,163,6.511,28.947,0
266,M00266,M,306.0,316.8,1427,47.1,47,7.035,32.765,0
267,M00267,M,303.5,312.9,1671,30.2,226,5.287,18.072,1
268,M00268,M,301.4,311.9,1021,39.1,82,4.181,38.324,0
269,L00269,L,298.5,310.1,1863,53.4,42,10.422,28.585,1
270,L00270,L,299.8,308.7,1477,28.0,80,4.327,18.949,0
271,M00271,M,298.9,309.4,1683,37.2,240,6.551,22.094,0
272,M00272,M,302.5,313.1,1488,54.9,188,8.55,36.896,0
273,M00273,M,300.5,309.7,1598,41.6,229,6.959,25.877,0
274,H00274,H,298.4,309.8,1036,34.7,75,3.768,33.551,0
275,L00275,L,299.1,308.8,1423,39.9,21,5.95,27.888,0
276,L00276,L,302.2,311.9,1670,48.3,141,8.437,28.843,0
277,M00277,M,303.2,315.3,1558,38.0,121,6.193,24.371,0
278,M00278,M,303.1,313.6,1173,46.0,180,5.646,39.228,0
279,M00279,M,301.5,312.4,1512,42.3,136,6.707,27.883,0
280,M00280,M,299.5,310.8,1336,43.2,99,6.041,32.279,0
281,M00281,M,293.5,302.9,1319,46.6,1,6.438,35.423,0
282,L00282,L,300.6,311.8,1196,37.1,117,4.64,30.885,0
283,L00283,L,300.0,309.5,1624,30.6,30,5.195,18.602,0
284,L00284,L,300.3,309.7,1723,44.7,231,8.071,26.028,1
285,L00285,L,300.1,309.8,1924,38.7,230,7.793,20.007,0
286,L00286,L,297.3,306.7,1205,35.5,201,4.483,29.408,0
287,L00287,L,301.1,311.9,1653,45.3,39,7.838,27.388,0
288,L00288,L,301.3,311.5,1667,52.8,37,9.211,31.672,1
289,L00289,L,301.4,310.9,1384,38.5,141,5.573,27.889,0
290,L00290,L,301.9,312.6,1316,40.1,182,5.526,30.424,0
291,L00291,L,301.2,310.9,1283,28.2,226,3.786,21.975,0
292,L00292,L,299.2,308.9,1395,37.8,224,5.516,26.917,0
293,M00293,M,299.9,309.9,1541,42.2,39,6.81,27.464,0
294,L00294,L,300.2,310.6,1772,39.8,249,7.385,22.389,0
295,L00295,L,300.2,310.6,1721,36.4,39,6.556,21.46,0
296,L00296,L,302.0,311.6,1177,47.3,210,5.824,40.133,0
297,M00297,M,301.3,312.1,1342,40.6,147,5.704,30.276,0
298,L00298,L,304.2,313.9,1760,65.9,170,12.143,37.502,1
299,M00299,M,304.4,313.8,1354,42.1,151,5.965,31.072,0
300,L00300,L,300.2,308.7,1489,12.5,217,1.954,8.464,1
301,L00301,L,292.3,303.3,1159,28.9,159,3.505,25.145,0
302,L00302,L,302.5,312.5,1731,45.3,212,8.214,26.113,0
303,L00303,L,298.9,309.1,1117,33.6,39,3.928,29.815,0
304,M00304,M,298.4,309.4,1171,34.2,217,4.194,29.054,0
305,M00305,M,299.2,308.7,1710,27.6,248,4.944,16.243,0
306,H00306,H,299.1,307.7,1884,35.2,165,6.951,18.653,0
307,L00307,L,301.2,311.3,1442,41.9,244,6.333,29.32,0
308,L00308,L,296.9,307.2,1491,43.9,55,6.846,29.495,0
309,M00309,M,297.8,307.6,1682,29.8,207,5.248,17.656,0
310,L00310,L,300.7,312.2,1558,48.1,42,7.84,30.768,0
311,L00311,L,301.2,308.8,1425,28.1,129,4.192,19.66,0
312,L00312,L,301.3,312.4,1403,44.4,166,6.52,31.428,0
313,L00313,L,298.4,309.2,1187,43.4,165,5.389,36.577,0
314,H00314,H,298.0,308.5,1547,30.7,168,4.965,19.891,0
315,M00315,M,299.0,305.7,1482,29.5,80,4.572,19.792,0
316,M00316,M,300.5,311.8,1412,43.8,243,6.482,30.871,0
317,L00317,L,303.0,311.9,1300,34.4,2,4.682,26.379,0
318,L00318,L,295.9,305.4,1320,38.1,155,5.265,28.962,0
319,L00319,L,299.6,309.4,1624,46.9,217,7.97,28.949,0
320,L00320,L,297.3,307.7,1676,44.8,223,7.863,26.741,0
321,L00321,L,296.7,307.3,1435,30.8,180,4.633,21.662,0
322,M00322,M,301.9,312.8,1414,39.5,144,5.842,27.751,0
323,M00323,M,301.1,311.9,1329,30.7,114,4.267,23.039,0
324,L00324,L,300.9,311.2,1687,48.7,112,8.605,28.917,0
325,H00325,H,301.8,312.3,1506,55.4,106,8.733,36.837,0
326,M00326,M,299.0,307.9,1574,31.5,175,5.199,20.13,0
327,L00327,L,299.1,308.4,1572,39.7,183,6.532,25.324,0
328,M00328,M,304.4,315.3,1438,49.2,129,7.407,34.318,0
329,L00329,L,299.5,310.3,1267,40.2,185,5.339,31.84,0
330,L00330,L,301.5,312.2,1301,45.6,132,6.214,34.952,0
331,L00331,L,300.0,309.5,1726,40.5,24,7.321,23.434,0
332,M00332,M,296.3,307.2,1355,29.4,213,4.176,21.554,0
333,L00333,L,295.9,304.7,1418,41.2,218,6.116,29.149,0
334,L00334,L,298.8,309.9,1273,51.3,67,6.836,40.393,0
335,L00335,L,302.1,311.9,1257,43.1,197,5.678,34.206,0
336,L00336,L,301.6,313.3,1346,56.2,128,7.928,41.737,0
337,M00337,M,301.8,310.3,1838,22.3,31,4.289,11.951,0
338,M00338,M,298.0,309.8,1632,43.8,99,7.482,26.827,0
339,L00339,L,303.2,312.9,1395,33.5,19,4.895,23.952,0
340,L00340,L,298.1,307.7,1717,31.2,197,5.616,18.084,0
341,L00341,L,300.4,310.6,1470,53.3,49,8.209,36.297,0
342,L00342,L,300.0,309.3,1771,37.4,41,6.945,21.336,0
343,L00343,L,299.7,309.6,1942,36.5,52,7.421,18.863,0
344,L00344,L,302.7,311.9,1706,43.4,57,7.758,25.441,0
345,L00345,L,298.6,307.9,1519,18.5,168,2.939,12.158,1
346,M00346,M,297.3,307.8,1640,53.5,160,9.196,32.842,1
347,M00347,M,300.0,309.1,1503,59.0,32,9.293,39.41,1
348,L00348,L,299.2,308.4,1133,49.2,181,5.831,43.358,0
349,L00349,L,306.8,315.4,1369,44.1,87,6.325,32.276,0
350,M00350,M,301.4,310.8,1310,37.8,114,5.189,28.788,0
351,L00351,L,299.2,310.5,1365,29.2,31,4.18,21.435,0
352,M00352,M,297.9,307.0,1859,51.9,177,10.11,28.021,1
353,M00353,M,296.2,305.5,1724,49.2,94,8.878,28.612,0
354,L00354,L,297.9,308.1,1588,44.5,158,7.401,27.956,0
355,L00355,L,300.2,309.9,1662,43.3,107,7.545,26.168,0
356,M00356,M,302.9,315.1,1122,43.0,12,5.051,38.359,0
357,L00357,L,302.2,312.1,1646,34.7,176,5.987,21.082,0
358,L00358,L,300.5,310.8,1688,65.0,138,11.491,38.707,1
359,H00359,H,299.4,310.3,1052,37.1,109,4.092,35.27,0
360,L00360,L,300.5,311.5,1653,35.7,50,6.186,21.506,0
361,L00361,L,299.0,309.2,1215,51.2,156,6.516,42.071,0
362,M00362,M,303.4,313.3,1106,39.7,69,4.599,35.975,0
363,L00363,L,299.6,311.6,1765,39.8,107,7.359,22.453,0
364,L00364,L,299.8,309.7,1299,54.1,14,7.363,41.779,0
365,H00365,H,295.6,305.1,1357,46.8,194,6.648,34.397,0
366,L00366,L,299.6,309.0,1698,47.3,23,8.409,27.847,0
367,H00367,H,301.7,309.9,1439,25.8,223,3.891,18.167,0
368,H00368,H,297.9,308.7,1464,44.0,217,6.746,29.971,0
369,L00369,L,298.5,306.2,1460,29.9,243,4.577,20.313,1
370,L00370,L,301.6,311.6,1570,35.5,227,5.827,22.723,0
371,L00371,L,297.0,306.8,1455,41.8,243,6.361,28.564,0
372,L00372,L,302.1,314.4,1523,39.6,222,6.321,25.948,0
373,L00373,L,298.9,307.1,1399,46.5,28,6.82,33.334,0
374,M00374,M,299.2,308.3,1570,47.7,109,7.845,30.448,0
375,L00375,L,297.8,307.6,1563,48.5,19,7.93,30.769,0
376,L00376,L,300.8,310.6,1880,26.6,136,5.227,14.095,0
377,M00377,M,304.9,314.4,1424,63.6,132,9.486,44.775,1
378,L00378,L,301.6,311.5,1463,39.8,231,6.091,27.373,0
379,M00379,M,298.3,307.0,1548,52.1,242,8.449,33.557,1
380,L00380,L,302.3,312.6,1693,14.9,65,2.634,8.883,1
381,L00381,L,299.4,307.0,1282,37.3,146,5.013,29.073,1
382,M00382,M,302.7,312.7,1521,25.4,116,4.044,16.802,0
383,M00383,M,301.6,311.0,1000,31.4,137,3.287,31.282,1
384,M00384,M,294.1,305.1,1446,40.5,133,6.132,27.995,0
385,M00385,M,298.0,309.7,1715,36.7,229,6.581,21.416,0
386,M00386,M,301.9,311.6,1355,53.1,224,7.539,39.32,0
387,L00387,L,300.3,311.7,1535,57.7,31,9.276,37.631,1
388,L00388,L,298.0,307.6,1394,30.3,86,4.428,21.712,0
389,M00389,M,298.7,307.8,1328,35.1,188,4.885,26.395,0
390,M00390,M,296.2,307.9,1694,29.7,171,5.268,17.701,0
391,H00391,H,299.8,310.3,1291,51.6,158,6.97,39.967,0
392,L00392,L,304.4,314.4,1559,41.6,248,6.788,26.637,0
393,L00393,L,301.6,312.3,1562,40.3,84,6.594,25.874,0
394,M00394,M,304.4,314.7,1330,43.1,129,6.005,32.496,0
395,L00395,L,301.8,311.7,1531,36.9,245,5.915,23.957,0
